Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,54,2,1,7,1,0,0,1,602
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,53,2,1,7,0,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,80,3,1,8,0,0,0,2,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,80,3,1,0,0,0,0,0,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,45,2,1,0,0,0,1,1,600
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,62,3,1,0,1,0,0,1,581
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,56,2,2,0,0,0,0,1,571
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,84,3,1,0,0,0,0,0,563
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,56,2,1,3,1,0,0,1,563
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,90,4,1,0,0,0,0,0,546
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,88,3,1,8,1,0,1,1,472
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,48,2,1,2,0,0,1,2,542
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,76,3,2,0,0,0,1,2,539
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,58,2,1,4,0,0,0,0,517
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,48,2,1,3,0,0,0,0,500
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,51,2,1,8,0,0,0,1,490
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,144,4,2,0,0,0,0,0,467
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,68,3,1,8,0,0,0,1,432
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,108,4,2,15,0,0,1,0,426
ახალი აშენებული,შავი კარკასი,დიდი დიღომი,72,3,2,5,0,0,0,1,414
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,74,2,2,14,1,0,0,1,622
ძველი აშენებული,ძველი გარემონტებული,დიდი დიღომი,67,2,1,0,1,1,0,2,612
