ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION,Difference
8906385,new,white,didDigomi,83,3,2,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,84,500,517,17
8899280,old,oldRenov,samgori,100,4,3,1,8,9,10,0,15,0,1,1,1,1,0,0,0,1,0,1,0,0,291,500,486,14
8889186,old,oldRenov,varketili,90,4,3,3,2,9,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,161,500,531,31
8884855,old,newRenov,vazisubani,90,3,2,2,8,8,6,0,11,1,0,1,1,1,1,0,0,1,0,0,1,0,169,500,524,24
8857949,new,white,varketili,41,2,1,1,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,677,500,540,40
8793640,old,newRenov,temqa,70,3,2,1,10,17,0,0,20,1,0,0,1,1,1,0,0,1,1,0,0,0,1132,500,539,39
8650589,old,newRenov,isani,110,4,2,2,9,16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,878,500,721,221
8630294,new,white,nadzaladevi,69,3,0,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,500,611,111
8955597,old,oldRenov,gldani,120,4,3,2,7,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,133,504,564,60
8943799,old,oldRenov,gldani,73,3,2,1,2,9,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,152,504,484,20
8943905,old,oldRenov,didDigomi,55,2,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,505,509,4
8952334,old,oldRenov,varketili,65,3,2,1,9,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,108,508,452,56
8643667,old,oldRenov,didube,132,3,2,1,2,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1358,508,594,86
8955587,new,newRenov,didDigomi,112,4,3,2,13,15,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,18,509,687,178
8949089,new,black,didDigomi,57,2,1,1,7,10,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,248,509,517,8
8932253,old,newRenov,didube,108,4,3,1,5,6,10,0,11,1,0,1,1,1,0,0,1,0,0,0,1,0,408,509,622,113
8763463,old,oldRenov,samgori,56,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,509,447,62
8941068,old,oldRenov,nadzaladevi,102,4,2,1,5,15,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,97,510,617,107
8926937,old,oldRenov,saburtalo,220,5,3,2,4,4,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,69,510,602,92
8802651,new,black,didDigomi,49,2,1,2,1,10,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,303,510,589,79
8917707,old,oldRenov,sandzona,84,1,0,1,3,9,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,157,512,511,1
8947366,old,oldRenov,sandzona,113,7,2,2,2,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,76,513,575,62
8899665,new,white,didDigomi,78,3,2,1,8,12,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,758,513,625,112
8955298,old,oldRenov,vazisubani,80,3,2,2,4,9,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,86,514,481,33
8931895,old,newRenov,gldani,110,5,3,2,1,9,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,70,514,569,55
8929537,old,newRenov,gldani,110,5,3,2,1,9,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,83,514,545,31
8932813,old,newRenov,muxiani,130,4,3,3,8,9,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,77,515,520,5
8931009,old,oldRenov,gldani,120,4,3,1,7,9,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,77,517,501,16
8897986,old,newRenov,gldani,116,7,2,1,1,9,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,93,517,521,4
8806586,old,newRenov,vazisubani,60,2,1,1,5,8,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,440,517,566,49
8492406,old,newRenov,vazisubani,120,4,3,3,7,9,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,842,517,540,23
8938139,new,white,nadzaladevi,84,3,2,1,10,14,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,520,616,96
8776548,old,newRenov,temqa,75,2,2,1,1,8,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,397,520,525,5
8956417,new,black,didDigomi,48,2,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,521,446,75
8898275,old,newRenov,muxiani,72,2,1,2,5,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,341,521,569,48
8933041,old,newRenov,temqa,67,2,1,2,5,8,5,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,162,522,567,45
