Status,Condition,District,Area,Rooms,Bathrooms,Balcony,lastoffirst,Heating,Parking,Storeroom,Fireplace,Furniture,Lift,Conditioner,PerSq
new,newRenov,didiDigomi,51,2,1,5,1,1,1,0,0,0,1,1,671
new,newRenov,didiDigomi,56,2,1,5,1,0,0,0,0,0,1,0,661
new,newRenov,didiDigomi,79,3,1,5,1,1,1,0,0,0,1,0,589
new,black,didiDigomi,72,3,2,5,1,0,0,0,0,0,1,0,414
new,newRenov,didube,51,2,1,5,1,1,1,0,0,1,1,1,1273
new,newRenov,didube,58,2,1,5,1,1,0,0,0,1,1,1,940
new,newRenov,didube,75,3,1,5,1,1,0,1,0,1,1,1,900
old,oldRenov,didube,50,3,2,5,1,0,0,0,0,0,1,0,800
old,oldRenov,didube,75,3,1,5,1,1,1,0,0,0,1,1,703
new,newRenov,digmisMas,78,3,1,5,1,1,1,0,0,1,1,0,1032
new,newRenov,digmisMas,60,3,1,5,1,1,0,1,0,1,0,1,817
new,newRenov,digmisMas,72,3,1,5,1,1,1,0,0,1,1,0,722
new,newRenov,digmisMas,72,3,1,5,1,1,1,0,0,1,1,0,694
old,oldRenov,digmisMas,89,3,1,5,1,1,1,1,0,0,0,0,545
new,newRenov,vadzisubani,72,3,1,5,1,1,1,0,0,0,1,0,742
old,newRenov,vake,110,3,2,5,1,0,0,0,0,0,0,1,1042
old,newRenov,vake,195,3,2,5,1,1,1,1,1,0,0,1,1000
new,newRenov,vake,125,3,1,5,1,1,0,0,0,1,1,1,1300
new,newRenov,vake,106,4,1,5,1,1,0,0,1,1,1,1,1037
new,newRenov,vake,92,3,1,5,0,1,0,0,0,1,1,0,826
new,white,vake,197,5,1,5,1,0,0,0,0,0,1,0,660
old,newRenov,vaja,90,2,1,5,1,1,1,0,0,1,1,1,1119
old,newRenov,varketili,86,3,3,5,1,0,0,1,0,0,1,0,529
new,newRenov,varketili,50,2,1,5,1,1,1,1,0,0,1,0,700
new,newRenov,varketili,66,3,1,5,1,1,0,0,0,0,1,0,689
new,white,ortatsala,52,2,2,5,1,0,0,0,0,0,1,0,769
old,newRenov,saburtalo,100,3,1,5,1,1,1,1,0,1,1,1,780
new,newRenov,saburtalo,65,2,1,5,1,1,0,0,0,0,1,0,1385
new,newRenov,saburtalo,59,2,1,5,1,1,0,1,0,1,1,1,1305
new,newRenov,saburtalo,46,2,1,5,1,1,0,0,0,1,1,1,1196
new,newRenov,saburtalo,120,4,2,5,1,1,1,1,0,1,1,1,1125
new,newRenov,saburtalo,108,3,1,5,1,1,0,0,0,0,1,0,990
new,newRenov,saburtalo,83,2,1,5,1,1,0,1,0,0,1,0,928
new,newRenov,saburtalo,68,3,1,5,1,0,0,0,0,0,0,0,900
new,white,saburtalo,108,3,2,5,1,0,0,0,0,0,1,0,980
old,oldRenov,saburtalo,80,3,1,5,1,1,1,1,0,1,1,1,838
old,oldRenov,saburtalo,35,2,1,5,0,1,1,1,0,0,0,0,529
old,oldRenov,didiDigomi,130,4,1,134,1,0,0,1,0,0,1,0,481
new,newRenov,vake,155,3,2,44,1,1,0,1,0,1,1,0,742
old,oldRenov,vake,160,6,3,54,1,1,0,1,0,0,1,1,869
old,oldRenov,saburtalo,160,7,2,42,1,1,0,1,0,1,1,0,906
old,oldRenov,varketili,62,3,2,23,1,1,0,1,0,1,1,0,468
old,oldRenov,digmisMas,93,4,1,21,1,1,1,1,0,0,1,0,602
new,newRenov,digmisMas,145,4,2,8,1,1,1,1,0,1,1,1,1034
old,newRenov,chugureti,85,4,2,8,1,1,1,1,0,1,0,0,941
new,newRenov,didiDigomi,78,3,1,24,1,0,0,0,0,0,1,0,590
old,oldRenov,didube,108,3,3,24,1,0,0,1,0,0,1,0,556
old,newRenov,nadzaladevi,85,3,1,19,1,1,1,1,0,1,1,1,647
old,oldRenov,didiDigomi,74,2,2,14,1,1,0,1,0,1,1,0,622
old,newRenov,isani,77,3,1,12,1,1,1,1,0,1,0,0,623
old,newRenov,saburtalo,105,4,2,10,1,1,1,1,0,1,1,1,1010
old,newRenov,isani,67,3,2,8,1,1,0,1,0,1,1,1,522
old,oldRenov,isani,67,3,2,8,1,1,1,1,0,1,1,1,522
