Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,newRenov,vake,102,3,2,3,5,13,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1300
new,newRenov,vake,125,3,2,1,2,6,5,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1300
new,newRenov,vake,100,3,2,1,10,14,6,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1290
new,newRenov,vake,153,3,2,2,2,7,0,40,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1176
new,newRenov,vake,135,4,3,1,12,13,5,12,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1148
new,newRenov,vake,155,5,3,2,7,8,18,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1146
new,newRenov,vake,88,3,2,1,7,15,12,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1136
new,newRenov,vake,70,2,1,1,2,13,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1134
new,newRenov,vake,115,3,2,2,3,11,15,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1130
new,newRenov,vake,98,3,2,1,5,10,8,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1112
new,newRenov,vake,75,3,2,1,7,9,7,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1107
new,newRenov,vake,67,3,2,1,3,8,7,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1075
new,newRenov,vake,127,4,3,2,2,9,8,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1068
new,newRenov,vake,106,4,2,1,6,10,5,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1037
new,newRenov,vake,108,3,2,1,6,11,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1019
new,newRenov,vake,70,2,1,1,6,12,14,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,971
new,newRenov,vake,45,2,1,1,3,10,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,967
new,newRenov,vake,75,2,1,3,3,6,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,955
new,newRenov,vake,90,3,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954
new,newRenov,vake,68,2,1,1,14,15,7,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,950
new,newRenov,vake,100,3,2,2,6,14,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,935
