ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8850189,new,newRenov,didDigomi,63,2,1,1,7,16,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,418,817
8905161,new,newRenov,didDigomi,49,2,1,1,3,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,351,822
8632637,new,newRenov,didDigomi,49,2,1,1,1,4,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1345,755
8868236,new,newRenov,didDigomi,37,2,1,1,14,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1449,808
8957099,new,newRenov,didDigomi,41,2,1,1,4,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,678
8859654,new,newRenov,didDigomi,53,3,2,1,9,11,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,802,677
8804789,new,newRenov,didDigomi,71,4,3,1,4,11,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1797,706
8765890,new,newRenov,didDigomi,48,2,1,1,10,11,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2768,669
8854272,new,newRenov,didDigomi,43,2,1,1,8,8,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,382,721
8947473,new,newRenov,didDigomi,68,3,2,1,3,8,4,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,80,669
8947488,new,newRenov,didDigomi,52,2,1,1,3,8,3,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,75,663
8869050,new,newRenov,didDigomi,60,2,1,1,7,10,4,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,941,630
8711810,new,newRenov,didDigomi,48,2,1,1,9,9,7,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1073,708
8899756,new,newRenov,didDigomi,60,3,2,1,3,10,3,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,533,700
8915841,new,newRenov,didDigomi,67,3,2,1,3,8,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,253,661
8938710,new,newRenov,didDigomi,43,2,1,1,3,9,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,251,686
8938837,new,newRenov,didDigomi,73,3,1,1,7,12,5,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,179,658
8869601,new,newRenov,didDigomi,41,2,1,1,2,9,3,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,729,695
