Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
old,oldRenov,didDigomi,2,1,1,13,13,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,541
old,oldRenov,saburtalo,4,2,2,9,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,542
old,newRenov,temqa,3,1,1,4,5,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,542
old,oldRenov,saburtalo,4,2,2,9,9,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,542
old,newRenov,gldani,4,3,2,6,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,542
old,oldRenov,varketili,1,1,1,4,9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,542
old,newRenov,chugureti,3,2,1,2,2,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,542
old,newRenov,nucubidze,3,2,1,3,16,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,542
new,white,didDigomi,3,2,2,6,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,543
new,newRenov,varketili,2,1,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,543
old,oldRenov,gldani,3,2,3,8,9,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,544
old,oldRenov,muxiani,4,3,2,6,9,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,545
old,newRenov,digmisMas,2,1,1,6,6,0,25,0,1,1,0,1,1,1,0,0,0,0,0,1,1,545
old,newRenov,gldani,7,2,2,1,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,545
old,newRenov,gldani,3,2,1,5,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,547
new,white,didDigomi,3,0,1,4,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,548
new,white,didDigomi,4,3,2,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,550
old,newRenov,gldani,3,2,1,3,8,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,550
new,black,ortawala,1,0,1,1,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,550
old,oldRenov,chugureti,2,1,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,550
new,white,varketili,432,0,1,127,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,550
new,black,didDigomi,2,1,1,4,12,10,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,550
old,oldRenov,sandzona,4,3,1,13,14,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,550
new,white,didDigomi,4,3,2,6,8,8,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,550
old,oldRenov,saburtalo,6,3,2,4,4,40,0,25,1,1,1,1,1,1,1,0,0,0,1,0,0,550
new,white,didDigomi,3,2,1,5,14,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,550
WIP,white,saburtalo,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551
new,white,vazisubani,2,1,1,6,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,551
new,white,didDigomi,2,1,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551
old,newRenov,didDigomi,4,3,1,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,552
old,oldRenov,varketili,1,1,1,2,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,553
old,newRenov,temqa,5,4,1,2,5,12,0,30,1,1,1,1,1,1,0,1,0,0,1,1,1,553
old,newRenov,temqa,5,4,1,2,5,12,0,30,1,1,1,1,1,1,0,1,0,0,1,1,0,553
old,oldRenov,isani,3,2,2,1,8,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,554
old,oldRenov,gldani,1,1,1,15,16,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,556
old,oldRenov,temqa,2,2,3,3,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,556
old,oldRenov,didDigomi,3,2,2,1,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,556
old,newRenov,nucubidze,2,1,2,15,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,556
old,newRenov,vazisubani,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,556
new,newRenov,varketili,2,1,1,6,9,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,556
old,newRenov,nucubidze,2,1,1,1,16,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,556
old,oldRenov,temqa,7,1,2,2,9,2,0,10,1,1,1,1,1,0,0,1,1,0,1,1,0,556
old,newRenov,nadzaladevi,3,2,1,3,5,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,556
old,oldRenov,muxiani,3,2,1,2,8,6,0,8,1,0,1,1,1,1,0,0,1,0,1,1,0,557
old,oldRenov,isani,3,2,2,9,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,557
new,white,nadzaladevi,3,2,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558
old,oldRenov,gldani,1,1,1,4,9,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,558
new,newRenov,saburtalo,4,1,1,1,11,4,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,558
old,oldRenov,isani,2,1,2,4,8,10,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,559
old,oldRenov,didDigomi,2,1,1,7,16,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,559
old,oldRenov,didube,3,1,2,3,3,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,560
new,newRenov,samgori,3,2,1,6,8,12,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,560
old,oldRenov,didDigomi,4,3,2,3,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,560
old,newRenov,gldani,4,3,3,1,9,0,0,18,1,1,1,1,1,1,0,0,0,0,1,1,0,560
new,newRenov,samgori,2,1,1,6,9,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,560
new,white,didDigomi,2,1,1,7,8,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,560
old,oldRenov,nadzaladevi,3,2,1,7,9,3,0,8,1,0,1,1,1,1,0,0,1,0,1,1,0,560
new,white,didDigomi,3,2,1,4,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,561
new,white,didDigomi,2,1,1,8,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,563
old,oldRenov,temqa,3,2,1,4,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,563
new,white,didDigomi,3,2,1,7,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,563
old,newRenov,vazisubani,3,2,1,8,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,563
old,oldRenov,digmisMas,3,2,2,14,16,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,563
old,oldRenov,muxiani,4,3,1,2,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,564
old,newRenov,didDigomi,3,2,1,14,16,3,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,564
new,white,didDigomi,3,2,1,9,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,564
new,white,vazisubani,3,2,1,6,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,565
old,newRenov,ortawala,3,2,1,5,8,3,0,14,1,1,1,1,1,1,0,1,1,0,1,1,0,565
