ID,Area,Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8924320,130,old,oldRenov,sandzona,5,2,1,7,8,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,352,438
8945704,130,old,oldRenov,digmisMas,5,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,500
8255985,130,old,newRenov,chugureti,5,3,1,2,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1206,654
8936796,130,old,oldRenov,saburtalo,5,3,2,3,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,153,733
8952311,130,old,oldRenov,saburtalo,5,3,1,1,5,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,23,769
8938006,128,new,white,saburtalo,5,3,2,4,12,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,79,649
8850787,128,old,oldRenov,vaja,5,3,2,4,9,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,121,703
8943257,127,old,newRenov,saburtalo,5,2,2,5,6,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,131,921
8937808,127,new,newRenov,chugureti,5,3,2,7,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,44,1102
8934963,123,new,oldRenov,vera,5,3,1,9,10,10,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,93,715
8935360,123,old,oldRenov,saburtalo,5,2,1,7,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,132,1016
8922797,120,old,oldRenov,vazisubani,5,3,3,6,9,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,237,417
8932563,120,old,oldRenov,didDigomi,5,3,2,5,9,10,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,86,650
8954603,120,old,oldRenov,didube,5,2,2,3,4,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,16,654
8933523,120,old,newRenov,didube,5,3,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,685
8841412,120,old,newRenov,saburtalo,5,4,2,1,8,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1037,792
8627811,120,old,newRenov,chugureti,5,0,1,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,283,1125
8714558,119,old,oldRenov,saburtalo,5,3,2,6,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1498,672
8922701,116,old,oldRenov,didDigomi,5,4,2,9,9,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,40,905
8950033,113,old,newRenov,sandzona,5,3,1,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,55,531
8932412,112,old,oldRenov,vake,5,3,2,9,16,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,202,934
8931895,110,old,newRenov,gldani,5,3,2,1,9,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,70,514
8929537,110,old,newRenov,gldani,5,3,2,1,9,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,83,514
8937818,110,old,oldRenov,didube,5,2,2,9,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,46,800
8924889,110,old,oldRenov,saburtalo,5,3,2,6,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,58,849
8933059,109,old,oldRenov,vake,5,2,1,12,12,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,108,633
8950511,108,old,newRenov,varketili,5,4,1,2,9,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,52,648
8922673,107,new,black,saburtalo,5,4,1,17,17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,113,1050
8684929,106,old,oldRenov,didube,5,3,1,2,9,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1132,613
8867729,106,new,newRenov,didube,5,3,1,7,12,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,583,943
8953230,105,old,oldRenov,gldani,5,4,2,5,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,53,524
8945947,105,old,oldRenov,didube,5,2,1,4,8,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,42,667
7548090,103,old,oldRenov,saburtalo,5,2,3,4,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,3897,650
8929729,103,old,oldRenov,saburtalo,5,0,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,56,655
8957338,101,old,oldRenov,varketili,5,4,3,8,9,10,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,45,584
8524768,100,old,oldRenov,saburtalo,5,3,1,8,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,820,770
8874535,100,new,newRenov,isani,5,3,2,2,9,10,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,325,897
8934098,100,old,newRenov,digmisMas,5,3,1,13,14,6,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,63,1080
8784167,100,new,newRenov,saburtalo,5,3,1,13,15,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,465,1250
8954303,97,old,oldRenov,vaja,5,3,1,2,5,8,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,54,670
8927210,94,old,oldRenov,vake,5,1,1,1,5,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,51,1596
8943757,91,old,oldRenov,vake,5,3,2,4,8,2,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,25,857
8943767,91,old,oldRenov,vake,5,3,2,4,8,2,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,24,901
8927087,90,old,oldRenov,gldani,5,3,1,7,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,118,500
8756458,90,old,newRenov,saburtalo,5,3,1,7,8,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1097,867
8927166,90,new,newRenov,saburtalo,5,3,2,7,8,5,6,0,1,1,1,1,1,1,0,0,1,0,0,0,1,199,878
8898689,86,old,newRenov,sandzona,5,2,2,3,8,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,197,640
8957425,80,new,newRenov,gldani,5,3,3,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,18,475
8948132,265,new,newRenov,saburtalo,4,3,1,10,10,15,140,0,1,1,1,1,1,1,0,1,1,0,0,1,1,85,606
8849108,227,old,white,vake,4,2,3,4,16,35,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,234,800
8903701,220,new,newRenov,vera,4,3,3,4,7,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,99,1613
8926613,200,old,oldRenov,vake,4,2,2,6,8,10,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,111,916
8927807,200,new,newRenov,vera,4,2,2,5,14,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,78,1300
8783123,196,new,newRenov,vake,4,3,3,5,6,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,759,1929
8808735,190,new,white,vake,4,3,3,10,11,10,40,0,0,0,0,0,1,1,0,0,0,0,0,1,0,462,1999
8955672,187,old,oldRenov,vera,4,2,2,1,9,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,17,963
8955210,185,old,newRenov,saburtalo,4,3,2,14,15,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,18,1135
8929521,180,new,black,vake,4,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,694
8869691,180,new,oldRenov,vera,4,3,2,3,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,182,889
8924048,177,old,newRenov,ortawala,4,3,2,7,7,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,61,1130
8958543,175,new,newRenov,vake,4,3,2,5,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,10,837
8653215,175,new,white,vake,4,2,3,8,12,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1199,850
8900804,175,old,newRenov,vake,4,3,2,2,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,180,875
8929657,175,new,newRenov,saburtalo,4,3,2,3,8,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,57,966
8856907,173,new,black,saburtalo,4,3,1,9,10,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,343,668
8942554,173,new,black,vake,4,3,2,10,11,0,65,0,0,1,0,0,1,0,0,0,1,0,0,0,0,49,671
8936870,172,new,newRenov,saburtalo,4,3,3,6,10,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,40,953
8939989,171,new,oldRenov,chugureti,4,3,1,5,7,0,65,0,1,1,1,1,1,1,0,1,1,0,1,1,1,57,1158
8873429,170,new,newRenov,vake,4,3,1,3,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,212,1250
8937882,170,new,newRenov,mtawminda,4,3,2,2,2,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,59,1765
8950486,169,new,newRenov,vake,4,3,3,8,21,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,42,2485
8955418,166,new,newRenov,vake,4,3,3,5,8,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,19,1002
8939790,165,old,oldRenov,saburtalo,4,3,2,5,7,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,39,667
8950161,165,old,oldRenov,vake,4,3,2,6,7,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,21,909
8931166,165,old,oldRenov,vake,4,3,1,6,7,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,84,909
8690810,165,new,newRenov,saburtalo,4,3,3,11,17,15,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,518,1030
8957114,164,new,newRenov,saburtalo,4,3,2,3,10,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,14,841
8601443,164,new,white,vake,4,3,2,4,6,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,7832,998
8905295,161,new,oldRenov,chugureti,4,3,2,10,10,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,99,1106
8948494,160,old,newRenov,saburtalo,4,3,1,9,9,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,55,500
8893142,160,new,white,saburtalo,4,3,3,18,20,5,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,117,906
8944405,160,old,newRenov,saburtalo,4,2,1,4,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,29,1031
8844496,159,new,newRenov,saburtalo,4,3,2,7,17,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,632,1289
8754647,156,new,newRenov,vake,4,3,2,18,18,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,346,1538
8692817,155,WIP,white,saburtalo,4,3,3,8,18,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,297,903
8680945,155,new,newRenov,saburtalo,4,3,2,10,12,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,242,1065
8957765,152,new,white,vake,4,3,2,9,9,50,110,0,1,0,1,0,1,0,0,0,1,0,0,0,0,25,800
8935156,152,new,white,vake,4,3,2,9,9,50,110,0,1,0,1,0,1,0,0,0,1,0,0,0,0,94,800
8931743,150,new,white,saburtalo,4,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,667
8947126,150,old,oldRenov,saburtalo,4,3,2,2,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,33,833
8923868,150,old,oldRenov,saburtalo,4,3,2,2,3,3,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,36,833
