	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
117	78	3	2	1	9	11	4	0	20	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
118	79	3	2	1	6	10	5	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
119	78	3	2	1	8	10	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
120	54	1	1	1	1	4	2	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
121	72	3	2	3	5	5	6	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
122	44	2	1	1	0	5	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
123	95	4	3	2	8	11	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
124	46	2	1	1	6	9	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
125	145	4	3	2	15	17	4	4	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
126	78	3	2	1	13	17	5	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0
127	91	3	2	1	10	11	10	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
128	100	3	2	1	12	12	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
129	120	4	120	3	9	15	7	7	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
130	23	2	1	1	0	12	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
131	142	4	3	2	2	12	15	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0
132	100	3	2	1	10	12	5	0	7	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
133	73	3	2	1	5	12	4	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0
134	73	3	2	1	5	12	4	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0
