Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,36,2,1,1,1,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,744
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,88,3,2,2,2,8,6,0,12,1,1,1,1,1,1,0,1,1,0,1,0,0,739
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,93,4,3,1,6,8,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,731
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,81,3,2,1,4,4,6,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,728
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,3,2,1,8,10,4,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,724
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,65,2,1,1,4,8,8,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,723
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,68,3,2,1,6,16,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,721
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,1,12,14,7,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,721
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,45,2,1,1,5,12,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,718
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,3,2,1,3,9,4,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,717
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,73,3,2,1,7,9,6,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,712
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,1,3,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,708
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,703
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,1,7,10,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,2,1,7,10,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,2,1,7,9,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,2,4,11,6,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,2,5,11,6,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,700
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,1,5,7,4,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,698
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,36,2,1,1,1,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,694
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,66,3,2,1,5,11,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,694
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,75,3,2,1,6,10,5,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,692
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,65,2,1,1,7,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,692
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,3,2,1,2,9,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,689
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,2,1,4,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,689
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,1,2,10,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,682
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,2,1,7,9,3,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,682
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,57,3,2,1,4,11,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,681
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,64,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,680
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,50,2,1,1,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,63,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,675
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,54,3,2,1,7,12,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,672
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,50,2,1,1,6,9,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,672
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,51,2,1,1,6,9,5,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,671
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,3,2,1,3,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,670
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,0,1,11,12,10,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,664
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,2,1,1,6,12,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,661
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,2,1,1,2,10,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,660
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,55,2,1,1,5,10,3,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,655
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,3,2,1,3,13,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,655
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,59,3,1,1,6,11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,653
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,1,2,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,650
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,2,2,13,14,16,16,0,1,0,0,1,1,1,0,0,1,1,1,0,0,638
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,1,6,10,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,637
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,2,1,1,6,10,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,626
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,1,9,9,10,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,625
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,2,1,1,1,10,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,621
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,3,2,1,4,9,6,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,616
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,41,2,1,1,1,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,610
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,100,4,3,1,8,8,15,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,600
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,81,3,2,1,5,9,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,599
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,2,1,9,10,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,590
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,2,1,9,11,4,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,590
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,79,3,2,1,6,10,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,589
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,2,1,8,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,577
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,54,1,1,1,1,4,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,559
