ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8824335,old,oldRenov,didube,40,1,0,1,5,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1204,725,729
8929662,new,newRenov,saburtalo,40,1,0,1,4,24,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,665,1100,1239
8935865,old,newRenov,chugureti,40,1,1,2,6,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,77,1225,1165
8890162,new,white,vake,40,2,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,850,1046
8949676,new,newRenov,nadzaladevi,40,2,1,1,7,10,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,42,963,939
8943652,new,newRenov,saburtalo,40,2,1,1,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,1185,1211
8805309,new,newRenov,digmisMas,40,2,1,1,2,11,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,328,1188,1123
8767275,old,newRenov,saburtalo,40,2,1,1,3,9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1053,1225,1153
8658317,old,newRenov,digmisMas,40,1,1,1,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,725,747
8935063,old,oldRenov,varketili,40,1,0,1,3,5,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,316,525,493
8934626,new,black,ortawala,40,1,0,1,1,11,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,264,550,643
8950959,old,newRenov,samgori,40,1,0,1,7,8,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,120,625,655
8245391,old,newRenov,samgori,40,1,0,1,2,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2192,625,607
